Types,Card Name,Set Code,Number,Release Date
Legendary Basic Snow Enchantment Artifact Land Creature — (all basic land types) (all creature types),Plains,LEA,286,1993-08-05
Legendary Snow Enchantment Artifact Land Creature — Desert (all basic land types) (all creature types),Desert,ARN,72,1993-12-17
Legendary Snow Enchantment Artifact Land Creature — Urza’s Mine (all basic land types) (all creature types),Urza's Mine,ATQ,83a,1994-03-04
Legendary Snow Enchantment Artifact Land Creature — Urza’s Power-Plant (all basic land types) (all creature types),Urza's Power Plant,ATQ,84a,1994-03-04
Legendary Snow Enchantment Artifact Land Creature — Urza’s Tower (all basic land types) (all creature types),Urza's Tower,ATQ,85a,1994-03-04
Legendary World Snow Enchantment Artifact Land Creature — (all basic land types) (all creature types),Field of Dreams,LEG,55,1994-06-01
Vanguard,Ertai,PVAN,101,1997-05-01
Legendary Snow Enchantment Artifact Land Creature — Lair (all basic land types) (all creature types),Crosis's Catacombs,PLS,136,2001-02-05
Legendary Snow Enchantment Artifact Land Creature — Locus (all basic land types) (all creature types),Cloudpost,MRD,280,2003-10-02
Instant — Arcane,Blessed Breath,CHK,1,2004-10-01
Sorcery — Arcane,Cleanfall,CHK,6,2004-10-01
Legendary Snow Enchantment Artifact Land Creature — Shrine (all basic land types) (all creature types),Honden of Cleansing Fire,CHK,14,2004-10-01
Legendary Snow Tribal Enchantment Artifact Land Creature — Aura (all basic land types) (all creature types),Bound in Silence,FUT,20,2007-05-04
Legendary Snow Enchantment Artifact Land Creature — Fortification (all basic land types) (all creature types),Darksteel Garrison,FUT,167,2007-05-04
Legendary Snow Enchantment Artifact Land Planeswalker Creature — Ajani (all basic land types) (all creature types),Ajani Goldmane,LRW,1,2007-10-12
Tribal Instant — (all creature types),Crib Swap,LRW,11,2007-10-12
Tribal Sorcery — Merfolk,Summon the School,LRW,42,2007-10-12
Legendary Snow Enchantment Artifact Land Planeswalker Creature — Jace (all basic land types) (all creature types),Jace Beleren,LRW,71,2007-10-12
Tribal Sorcery — Goblin,Boggart Birth Rite,LRW,101,2007-10-12
Legendary Snow Enchantment Artifact Land Planeswalker Creature — Liliana (all basic land types) (all creature types),Liliana Vess,LRW,121,2007-10-12
Legendary Snow Enchantment Artifact Land Planeswalker Creature — Chandra (all basic land types) (all creature types),Chandra Nalaar,LRW,159,2007-10-12
Tribal Sorcery — Elemental,Consuming Bonfire,LRW,161,2007-10-12
Tribal Sorcery — Giant,Giant's Ire,LRW,170,2007-10-12
Tribal Sorcery — Elf,Elvish Promenade,LRW,208,2007-10-12
Legendary Snow Enchantment Artifact Land Planeswalker Creature — Garruk (all basic land types) (all creature types),Garruk Wildspeaker,LRW,213,2007-10-12
