Types,Card Name,Set Code,Number,Release Date
Enchantment — Aura,Animate Wall,LEA,1,1993-08-05
Sorcery,Armageddon,LEA,2,1993-08-05
Creature — Human Soldier,Benalish Hero,LEA,4,1993-08-05
Instant,Blaze of Glory,LEA,6,1993-08-05
Enchantment,Castle,LEA,9,1993-08-05
Creature — Pegasus,Mesa Pegasus,LEA,28,1993-08-05
Creature — Human Knight,Northern Paladin,LEA,29,1993-08-05
Creature — Unicorn,Pearled Unicorn,LEA,30,1993-08-05
Creature — Avatar Incarnation,Personal Incarnation,LEA,31,1993-08-05
Creature — Human Cleric,Samite Healer,LEA,37,1993-08-05
Creature — Cat,Savannah Lions,LEA,38,1993-08-05
Creature — Angel,Serra Angel,LEA,39,1993-08-05
Creature — Human,Veteran Bodyguard,LEA,41,1993-08-05
Creature — Wall,Wall of Swords,LEA,42,1993-08-05
Creature — Elemental,Air Elemental,LEA,46,1993-08-05
Creature — Shapeshifter,Clone,LEA,51,1993-08-05
Creature — Merfolk,Lord of Atlantis,LEA,62,1993-08-05
Creature — Djinn,Mahamoti Djinn,LEA,64,1993-08-05
Creature — Illusion,Phantasmal Forces,LEA,67,1993-08-05
Creature — Human Pirate,Pirate Ship,LEA,70,1993-08-05
Creature — Human Wizard,Prodigal Sorcerer,LEA,73,1993-08-05
Creature — Serpent,Sea Serpent,LEA,76,1993-08-05
Creature — Wraith,Bog Wraith,LEA,95,1993-08-05
Creature — Demon,Demonic Hordes,LEA,103,1993-08-05
Creature — Skeleton,Drudge Skeletons,LEA,106,1993-08-05
Creature — Shade,Frozen Shade,LEA,109,1993-08-05
Creature — Specter,Hypnotic Specter,LEA,112,1993-08-05
Creature — Spirit,Nether Shadow,LEA,116,1993-08-05
Creature — Imp,Nettling Imp,LEA,117,1993-08-05
Creature — Nightmare Horse,Nightmare,LEA,118,1993-08-05
Creature — Rat,Plague Rats,LEA,121,1993-08-05
Creature — Human Assassin,Royal Assassin,LEA,123,1993-08-05
Creature — Zombie,Scathe Zombies,LEA,125,1993-08-05
Creature — Vampire,Sengir Vampire,LEA,127,1993-08-05
Creature — Skeleton Wall,Wall of Bone,LEA,132,1993-08-05
Creature — Dragon,Dragon Whelp,LEA,141,1993-08-05
Creature — Dwarf,Dwarven Demolition Team,LEA,142,1993-08-05
Creature — Dwarf Warrior,Dwarven Warriors,LEA,143,1993-08-05
Creature — Goblin Warrior,Goblin Balloon Brigade,LEA,153,1993-08-05
Creature — Goblin,Goblin King,LEA,154,1993-08-05
Creature — Gargoyle,Granite Gargoyle,LEA,155,1993-08-05
Creature — Ogre,Gray Ogre,LEA,156,1993-08-05
Creature — Giant,Hill Giant,LEA,157,1993-08-05
Creature — Minotaur,Hurloon Minotaur,LEA,158,1993-08-05
Creature — Orc,Ironclaw Orcs,LEA,159,1993-08-05
Creature — Human Barbarian,Keldon Warlord,LEA,160,1993-08-05
Creature — Orc Warrior,Orcish Artillery,LEA,165,1993-08-05
Creature — Bird,Roc of Kher Ridges,LEA,170,1993-08-05
Creature — Hydra,Rock Hydra,LEA,171,1993-08-05
Creature — Troll,Sedge Troll,LEA,172,1993-08-05
Creature — Cockatrice,Cockatrice,LEA,189,1993-08-05
Creature — Wurm,Craw Wurm,LEA,190,1993-08-05
Creature — Elf Archer,Elvish Archers,LEA,191,1993-08-05
Creature — Fungus Dinosaur,Fungusaur,LEA,195,1993-08-05
Creature — Avatar,Gaea's Liege,LEA,196,1993-08-05
Creature — Spider,Giant Spider,LEA,198,1993-08-05
Creature — Bear,Grizzly Bears,LEA,199,1993-08-05
Creature — Treefolk,Ironroot Treefolk,LEA,203,1993-08-05
Creature — Human Druid,Ley Druid,LEA,205,1993-08-05
Creature — Elf Druid,Llanowar Elves,LEA,210,1993-08-05
Creature — Faerie,Scryb Sprites,LEA,215,1993-08-05
Creature — Nymph Dryad,Shanodin Dryads,LEA,216,1993-08-05
Creature — Basilisk,Thicket Basilisk,LEA,218,1993-08-05
Creature — Wolf,Timber Wolves,LEA,219,1993-08-05
Creature — Plant Wall,Wall of Brambles,LEA,223,1993-08-05
Creature — Elephant,War Mammoth,LEA,227,1993-08-05
Artifact,Ankh of Mishra,LEA,230,1993-08-05
Artifact Creature — Beast,Clockwork Beast,LEA,236,1993-08-05
Artifact Creature — Juggernaut,Juggernaut,LEA,255,1993-08-05
Artifact Creature — Wall,Living Wall,LEA,258,1993-08-05
Artifact Creature — Golem,Obsianus Golem,LEA,267,1993-08-05
Land — Swamp Mountain,Badlands,LEA,277,1993-08-05
Land — Swamp Forest,Bayou,LEA,278,1993-08-05
Land — Mountain Plains,Plateau,LEA,279,1993-08-05
Land — Forest Plains,Savannah,LEA,280,1993-08-05
Land — Plains Swamp,Scrubland,LEA,281,1993-08-05
Land — Mountain Forest,Taiga,LEA,282,1993-08-05
Land — Forest Island,Tropical Island,LEA,283,1993-08-05
Land — Plains Island,Tundra,LEA,284,1993-08-05
Land — Island Swamp,Underground Sea,LEA,285,1993-08-05
Basic Land — Plains,Plains,LEA,286,1993-08-05
Basic Land — Island,Island,LEA,288,1993-08-05
Basic Land — Swamp,Swamp,LEA,290,1993-08-05
Basic Land — Mountain,Mountain,LEA,292,1993-08-05
Basic Land — Forest,Forest,LEA,294,1993-08-05
Land — Island Mountain,Volcanic Island,LEB,287,1993-10-04
Creature — Camel,Camel,ARN,3,1993-12-17
Creature — Human Noble,King Suleiman,ARN,6,1993-12-17
Creature — Fish,Dandân,ARN,12,1993-12-17
Creature — Turtle,Giant Tortoise,ARN,15,1993-12-17
Creature — Efreet,Serendib Efreet,ARN,20,1993-12-17
Creature — Human Warrior,Erg Raiders,ARN,25,1993-12-17
Creature — Beast,Guardian Beast,ARN,26,1993-12-17
Creature — Devil,Stone-Throwing Devils,ARN,33,1993-12-17
Creature — Human Rogue,Aladdin,ARN,34,1993-12-17
Creature — Human Bird,Bird Maiden,ARN,37,1993-12-17
Creature — Human Nomad,Desert Nomads,ARN,38,1993-12-17
Creature — Jackal,Hurr Jackal,ARN,39,1993-12-17
Creature — Ape,Kird Ape,ARN,40,1993-12-17
Creature — Bird Egg,Rukh Egg,ARN,43,1993-12-17
Creature — Snake,Nafs Asp,ARN,52,1993-12-17
Creature — Plant,Singing Tree,ARN,54,1993-12-17
Artifact Creature — Construct,Brass Man,ARN,59,1993-12-17
Artifact Creature — Spirit,Dancing Scimitar,ARN,61,1993-12-17
Land,Bazaar of Baghdad,ARN,70,1993-12-17
Land — Desert,Desert,ARN,72,1993-12-17
Creature — Human Artificer,Argivian Archaeologist,ATQ,1,1994-03-04
Creature — Phyrexian Gremlin,Phyrexian Gremlins,ATQ,18,1994-03-04
Creature — Phyrexian Human Cleric,Priest of Yawgmoth,ATQ,19,1994-03-04
Creature — Phyrexian Demon,Yawgmoth Demon,ATQ,21,1994-03-04
Creature — Atog,Atog,ATQ,23,1994-03-04
Creature — Dwarf Artificer,Dwarven Weaponsmith,ATQ,25,1994-03-04
Creature — Goblin Artificer,Goblin Artisans,ATQ,26,1994-03-04
Artifact Creature — Bird,Clockwork Avian,ATQ,45,1994-03-04
Artifact Creature — Thopter,Ornithopter,ATQ,60,1994-03-04
Artifact Creature — Shapeshifter,Primal Clay,ATQ,61,1994-03-04
Artifact Creature — Soldier,Yotian Soldier,ATQ,79,1994-03-04
Land — Urza’s Mine,Urza's Mine,ATQ,83a,1994-03-04
Land — Urza’s Power-Plant,Urza's Power Plant,ATQ,84a,1994-03-04
Land — Urza’s Tower,Urza's Tower,ATQ,85a,1994-03-04
Creature — Giant Soldier,Akron Legionnaire,LEG,1,1994-06-01
Creature — Kithkin,Amrou Kithkin,LEG,3,1994-06-01
Creature — Human Soldier Archer,D'Avenant Archer,LEG,7,1994-06-01
Creature — Dragon Wurm,Elder Land Wurm,LEG,11,1994-06-01
Creature — Giant Cleric,Ivory Guardians,LEG,23,1994-06-01
Creature — Sphinx,Petra Sphinx,LEG,30,1994-06-01
Creature — Elemental Spirit,Thunder Spirit,LEG,39,1994-06-01
Creature — Drake,Azure Drake,LEG,46,1994-06-01
Creature — Hag,Brine Hag,LEG,49,1994-06-01
Creature — Spawn,Elder Spawn,LEG,52,1994-06-01
World Enchantment,Field of Dreams,LEG,55,1994-06-01
Creature — Leviathan,Segovian Leviathan,LEG,76,1994-06-01
Creature — Horror,Abomination,LEG,87,1994-06-01
Creature — Insect,Carrion Ants,LEG,90,1994-06-01
Creature — Eye,Evil Eye of Orms-by-Gore,LEG,96,1994-06-01
Creature — Slug,Giant Slug,LEG,99,1994-06-01
Creature — Zombie Knight,Headless Horseman,LEG,102,1994-06-01
Creature — Gorgon,Infernal Medusa,LEG,108,1994-06-01
Creature — Werewolf,Lesser Werewolf,LEG,110,1994-06-01
Creature — Spirit Minion,Lost Soul,LEG,111,1994-06-01
Creature — Fungus Demon,Mold Demon,LEG,112,1994-06-01
Creature — Scorpion,Pit Scorpion,LEG,114,1994-06-01
Creature — Nightstalker,Shimian Night Stalker,LEG,116,1994-06-01
Creature — Bat,Vampire Bats,LEG,125,1994-06-01
Creature — Human Berserker,Aerathi Berserker,LEG,131,1994-06-01
Creature — Kobold,Crimson Kobolds,LEG,139,1994-06-01
Creature — Manticore,Crimson Manticore,LEG,140,1994-06-01
Creature — Phoenix,Firestorm Phoenix,LEG,147,1994-06-01
Creature — Kobold Soldier,Kobold Drill Sergeant,LEG,154,1994-06-01
Creature — Yeti,Mountain Yeti,LEG,159,1994-06-01
Creature — Ooze,Primordial Ooze,LEG,160,1994-06-01
Creature — Gnome,Quarum Trench Gnomes,LEG,162,1994-06-01
Creature — Ox,Raging Bull,LEG,163,1994-06-01
Creature — Cat Warrior,Cat Warriors,LEG,177,1994-06-01
Creature — Boar,Durkwood Boars,LEG,182,1994-06-01
Creature — Elf,Elven Riders,LEG,183,1994-06-01
Creature — Wombat,Rabid Wombat,LEG,198,1994-06-01
Creature — Ouphe,Shelkin Brownie,LEG,204,1994-06-01
Creature — Human Monk,Whirling Dervish,LEG,211,1994-06-01
Creature — Satyr,Willow Satyr,LEG,212,1994-06-01
Creature — Wolverine,Wolverine Pack,LEG,214,1994-06-01
Legendary Creature — Human Knight,Adun Oakenshield,LEG,216,1994-06-01
Legendary Creature — Human Cleric,Angus Mackenzie,LEG,217,1994-06-01
Legendary Creature — Elder Dragon,Arcades Sabboth,LEG,218,1994-06-01
Legendary Creature — Giant,Axelrod Gunnarson,LEG,219,1994-06-01
Legendary Creature — Human Artificer,Ayesha Tanaka,LEG,220,1994-06-01
Legendary Creature — Human Warrior,Barktooth Warbeard,LEG,221,1994-06-01
Legendary Creature — Giant Warrior,Bartel Runeaxe,LEG,222,1994-06-01
Legendary Creature — Zombie Wizard,Boris Devilboon,LEG,223,1994-06-01
Legendary Creature — Angel,Gabriel Angelfire,LEG,226,1994-06-01
Legendary Creature — Human Rogue,Gwendlyn Di Corci,LEG,228,1994-06-01
Legendary Creature — Shapeshifter,Halfdane,LEG,229,1994-06-01
Legendary Creature — Human,Jasmine Boreal,LEG,233,1994-06-01
Legendary Creature — Cat Warrior,Jedit Ojanen,LEG,234,1994-06-01
Legendary Creature — Human Wizard,Johan,LEG,236,1994-06-01
Legendary Creature — Elf Archer,Lady Caleria,LEG,239,1994-06-01
Legendary Creature — Demon,Lady Orca,LEG,241,1994-06-01
Legendary Creature — Human Druid,Lord Magnus,LEG,243,1994-06-01
