Types,Token Name,Card Name,Set Code,Number,Release Date
Artifact Creature — Insect,Wasp,The Hive,LEA,272,1993-08-05
Creature — Bird,Bird,Rukh Egg,ARN,43,1993-12-17
Artifact Creature — Djinn,Djinn,Bottle of Suleiman,ARN,58,1993-12-17
Artifact Creature — Tetravite,Tetravite,Tetravus,ATQ,71,1994-03-04
Creature — Wolf,Wolves of the Hunt,Master of the Hunt,LEG,194,1994-06-01
Creature — Demon,Minor Demon,Boris Devilboon,LEG,223,1994-06-01
Creature — Sand Warrior,Sand Warrior,Hazezon Tamar,LEG,230,1994-06-01
Legendary Creature — Human Warrior,Stangg Twin,Stangg,LEG,260,1994-06-01
Artifact Creature — Snake,Snake,Serpent Generator,LEG,295,1994-06-01
Creature — Citizen,Citizen,Icatian Town,FEM,15,1994-11-01
Creature — Camarid,Camarid,Homarid Spawning Bed,FEM,21,1994-11-01
Creature — Thrull,Thrull,Breeding Pit,FEM,35,1994-11-01
Creature — Goblin,Goblin,Goblin Warrens,FEM,59,1994-11-01
Creature — Saproling,Saproling,Elvish Farmer,FEM,66,1994-11-01
Creature — Caribou,Caribou,Caribou Range,ICE,11,1995-06-03
Creature — Plant Wall,Kelp,Wall of Kelp,HML,40,1995-10-01
Creature — Spirit,Spirit,Broken Visage,HML,43,1995-10-01
Creature — Skeleton,Skeleton,Drudge Spell,HML,45,1995-10-01
Creature — Serf,Serf,Sengir Autocrat,HML,56,1995-10-01
Creature — Knight,Knight,Errand of Duty,ALL,2a,1996-06-10
Creature — Deserter,Deserter,Kjeldoran Home Guard,ALL,8,1996-06-10
Creature — Orb,Orb,Phantasmal Sphere,ALL,32,1996-06-10
Creature — Starfish,Starfish,Spiny Starfish,ALL,35,1996-06-10
Creature — Graveborn,Graveborn,Balduvian Dead,ALL,43,1996-06-10
Creature — Zombie,Zombie,Feast or Famine,ALL,49a,1996-06-10
Creature — Survivor,Survivor,Varchild's War-Riders,ALL,83,1996-06-10
Creature — Splinter,Splinter,Splintering Wind,ALL,99,1996-06-10
Creature — Hippo,Hippo,Phelddagrif,ALL,115,1996-06-10
Creature — Soldier,Soldier,Kjeldoran Outpost,ALL,139,1996-06-10
Creature — Pegasus,Pegasus,Sacred Mesa,MIR,37,1996-10-08
Creature — Wall,Wall,Tidal Wave,MIR,100,1996-10-08
Creature — Insect,Insect,Carrion,MIR,111,1996-10-08
Creature — Goblin Scout,Goblin Scout,Goblin Scouts,MIR,178,1996-10-08
Creature — Cat,Cat,Waiting in the Weeds,MIR,252,1996-10-08
Artifact Creature — Wall,Wall,Basalt Golem,MIR,294,1996-10-08
Creature — Sheep,Sheep,Ovinomancer,MGB,2,1996-11-01
Artifact Creature — Prism,Prism,Diamond Kaleidoscope,VIS,143,1997-02-03
Creature — Snake,Snake,Snake Basket,VIS,155,1997-02-03
Creature — Sliver,Sliver,"Sliver Queen, Brood Mother",PVAN,307,1997-05-01
Creature — Squirrel,Squirrel,Liege of the Hollows,WTH,131,1997-06-09
